Part_id,Sc_id,Answer,fixationrate,meanfixationduration,stddevfixationduration
P24_04,seg12,0,2.161515135649485e-06,407.14814814814815,293.9208035278189
P24_04,seg13,1,3.4908418636417825e-06,240.65,144.19331870060674
P24_04,seg14,1,3.009834286241724e-06,279.3333333333333,133.92875822877534
P24_04,seg15,0,3.127190988186098e-06,246.6,176.14567834607806
P24_04,seg16,1,3.847091839012946e-06,210.67857142857144,85.01723292474234
P24_04,seg17,0,3.36235895418834e-06,253.6530612244898,195.11498223487868
P24_04,seg18,0,3.2971193935521534e-06,250.68421052631572,115.90084489749508
P24_05,seg1,1,4.053484204015407e-06,180.125,82.01012919342696
P24_05,seg2,0,4.058158951629973e-06,176.0681818181818,73.99698225376387
P24_05,seg3,1,3.299035461002267e-06,219.8,113.92180554124737
P24_05,seg4,0,4.242619939557423e-06,179.7391304347826,61.56962988090394
P24_05,seg5,0,3.906104828916515e-06,202.82857142857145,73.0098646494736
P24_05,seg6,1,4.16353032310091e-06,170.94736842105263,56.27755985017527
P24_05,seg7,1,4.54866342074045e-06,169.0,60.4264258514143
P24_05,seg8,1,4.4659610034766265e-06,180.0,73.3060122266341
P24_05,seg9,1,5.003529412670322e-06,148.69230769230768,74.13769241011913
P24_05,seg10,1,4.088903962836597e-06,178.89473684210526,95.9148318601468
P24_05,seg11,0,4.579495461719998e-06,151.66666666666666,85.51169510657591
P24_05,seg12,0,3.865389610657343e-06,218.3,175.36074148786096
P24_05,seg13,1,4.545055493931514e-06,154.31578947368422,52.81735050738425
P24_05,seg14,1,3.8177171925340725e-06,162.0909090909091,135.27487168388265
P24_05,seg15,0,3.988456759361636e-06,178.8108108108108,63.72721285022325
P24_05,seg16,0,2.756031920361702e-06,291.57142857142856,388.7604986038645
P24_05,seg17,0,2.952884948909185e-06,248.86666666666667,382.52859214642217
P24_05,seg18,0,3.4138068002228213e-06,207.8823529411765,113.355018830741
P24_06,seg1,0,2.9221487394580875e-06,313.2142857142857,296.1115919934442
P24_06,seg2,1,3.226615368158567e-06,267.19565217391306,127.15845225810328
P24_06,seg3,1,3.0262324142367453e-06,275.59090909090907,184.8850451373323
P24_06,seg4,1,4.131813283181911e-06,196.74468085106383,95.39584989722204
P24_06,seg5,1,2.9659880027955524e-06,316.5365853658537,321.1591581724687
P24_06,seg6,1,3.703966519261796e-06,174.47368421052633,82.56671943280014
P24_06,seg7,1,4.226343733199373e-06,212.0,141.0876120916159
P24_06,seg8,1,3.1841100173693203e-06,280.82142857142856,253.7663045039418
P24_06,seg9,1,3.9851613844238105e-06,175.4,81.38778427117566
P24_06,seg10,1,3.692489476404992e-06,205.65217391304347,84.04577145582485
P24_06,seg11,1,4.309313935674871e-06,176.06666666666666,89.33699597912789
P24_06,seg12,0,3.5650684089718887e-06,230.1315789473684,152.33554199265618
P24_06,seg13,1,4.083312189819078e-06,176.11363636363637,92.58540140816588
P24_06,seg14,1,3.477411238884938e-06,235.82222222222225,202.47730387838183
P24_06,seg15,0,2.8495013474409885e-06,304.9761904761905,193.84359902430245
P24_06,seg16,0,3.1677468083331035e-06,255.97727272727272,218.6840652669768
P24_06,seg17,1,3.708957671625543e-06,222.81132075471697,122.14557150632464
P24_06,seg18,1,2.5281315581877016e-06,355.75,244.21372318645933
P24_07,seg1,1,2.421671567346437e-06,324.2352941176471,278.7957935015399
P24_07,seg2,1,3.571333707876956e-06,214.4375,130.8601505018304
P24_07,seg3,1,2.1719167382406648e-06,397.0,738.811117043231
P24_07,seg4,0,3.4941919042996457e-06,211.20408163265307,150.98426788794873
P24_07,seg5,0,2.208937360560829e-06,473.969696969697,778.118302575534
P24_07,seg6,1,8.8000102892428e-07,840.5384615384615,1071.8530383860634
P24_07,seg7,1,3.03034424640166e-06,206.13953488372093,179.34518212697955
P24_07,seg8,1,3.66846975698559e-06,190.79591836734693,163.69559905403645
P24_07,seg9,1,2.6167168887717103e-06,325.0,228.50917803109013
P24_07,seg10,0,2.645966793523813e-06,307.4871794871795,231.624568258168
P24_07,seg11,0,2.017673287348472e-06,422.2068965517241,549.5679068472368
P24_07,seg12,0,3.2919989468465978e-06,212.17391304347825,169.7274029270107
P24_07,seg13,1,3.540277668225852e-06,200.26,124.4435467452234
P24_07,seg14,1,2.925365515279367e-06,263.225,186.64741029339456
P24_07,seg15,0,2.8524011477206497e-06,230.65,182.81790716307628
P24_07,seg16,0,3.175012174407793e-06,261.02222222222224,141.60644709400012
P24_07,seg17,0,3.6433878231129376e-06,210.92,86.0666187156371
P24_07,seg18,0,3.269667944413267e-06,212.77272727272728,152.7224056659304
P24_08,seg1,0,1.943363029930806e-06,477.3103448275862,539.0324734087573
P24_08,seg2,0,2.7785230469337947e-06,312.8536585365854,279.80444608472624
