Part_id,Sc_id,Answer,endpupilsize,maxpupilsize,maxpupilvelocity,meanpupilsize,meanpupilvelocity,minpupilsize,minpupilvelocity,startpupilsize,stddevpupilsize,stddevpupilvelocity
P24_26,seg4,0,3.389,3.7125,1.2818973281296896e-05,3.5326500000000007,1.0236616070559942e-06,3.212,0.0,3.585,0.1079477434290253,1.4998096116870651e-06
P24_26,seg5,1,2.925,3.62,1.927464873303712e-05,3.158043706293704,1.0291423430734623e-06,2.549,0.0,3.62,0.2165764862556568,1.616600560222666e-06
P24_26,seg6,1,3.476,3.541,8.405884118883225e-06,3.347947368421053,1.036732246605254e-06,2.581,0.0,3.256,0.0993865456131583,1.3054115255262063e-06
P24_26,seg7,0,3.4875,3.558,4.692284599219453e-05,3.3520896017699124,9.973408399197448e-07,2.49,0.0,3.4240000000000004,0.1171994918479588,2.9044178905551505e-06
P24_26,seg9,0,3.3615000000000004,3.8195,5.643950765535875e-05,3.3975767590618324,1.1541892462402582e-06,2.082,0.0,3.376,0.2078228861349003,3.359068400231067e-06
P24_26,seg10,1,3.6,3.724,5.77038549297466e-05,3.374831125827815,1.4647226071761251e-06,2.5165,0.0,3.265,0.1273936553824181,3.707513386156911e-06
P24_26,seg11,1,3.583,3.714,1.6151305914139904e-05,3.4945099431818174,8.443100987790623e-07,3.0865,0.0,3.714,0.0695218860208366,1.3440293378438858e-06
P24_26,seg12,1,3.4685,3.709,1.9154557463672388e-05,3.4159945141065804,9.905247867258609e-07,2.716,0.0,3.4105,0.1500948822402825,1.7942645465069878e-06
P24_26,seg13,0,3.237,3.759,2.0354247973581504e-05,3.4874150141643083,7.83389522953047e-07,2.625,0.0,3.5765,0.1238599081535187,1.4037242206866451e-06
P24_26,seg15,1,2.9415,3.3795,5.505854097868507e-05,3.1229014084507054,1.0859033681018396e-06,2.116,0.0,3.355,0.1733979546286153,3.5162598411611654e-06
P24_27,seg1,1,3.422,3.859,2.5157610327229063e-05,3.60200980392157,1.7164378581870894e-06,2.9075,0.0,3.027,0.1517186895491585,3.858186505360366e-06
P24_27,seg2,1,3.672,3.672,2.1496337216284385e-05,3.469384393063581,7.547591153189085e-07,3.01,0.0,3.518,0.0937211254095395,1.8098196941603663e-06
P24_27,seg3,0,2.741,4.0205,2.113479435604925e-05,3.7065971731448726,8.146552618664185e-07,2.741,0.0,4.0205,0.2428471272756239,2.1635953214733857e-06
P24_27,seg4,1,3.6425,3.7105,3.476433503452418e-05,3.411912639405207,1.5695298764355728e-06,2.647,0.0,3.4065000000000003,0.1379803508754382,3.7262972394661727e-06
P24_27,seg5,1,3.428,3.9665,2.557790453317323e-05,3.439411423841059,7.298411022876779e-07,2.6405,0.0,3.4385,0.2131637133173692,1.595061584614405e-06
P24_27,seg6,1,3.274,3.5095,2.053437406184329e-05,3.344737654320989,8.80009853929566e-07,2.697,0.0,3.25,0.0738132442924231,2.1157968575910893e-06
P24_27,seg7,0,3.4525,3.489,7.277530923501861e-05,3.3145825688073423,1.0850652470294334e-06,1.9035,0.0,3.2835,0.1490598701557778,4.387843607274435e-06
P24_27,seg9,1,3.1385,3.545,3.191425483367356e-05,3.266206546275395,1.2620837584977254e-06,2.044,0.0,3.291,0.1559799003107153,3.241415559664226e-06
P24_27,seg10,0,3.5285,3.5285,5.785049534674273e-05,3.3124542483660115,8.741931521031179e-07,2.0935,0.0,3.258,0.1213940949408047,3.734057416445248e-06
P24_27,seg11,1,3.1485,3.1915,2.479735815070551e-05,3.061616666666665,1.073295911807043e-06,1.983,0.0,3.0125,0.1393918048283068,3.0678370305328006e-06
P24_27,seg12,1,3.2845,3.6045,5.451816271389975e-05,3.3415088339222576,1.4937104001806931e-06,1.869,0.0,3.223,0.2126606585008992,4.489359960526387e-06
P24_27,seg13,1,3.025,3.332,4.106874812368656e-05,3.0791373134328377,9.871540772467606e-07,2.318,0.0,3.1515,0.1242522928809522,3.124161422608919e-06
P24_27,seg15,1,3.014,3.286,2.873011107775445e-05,3.1360744680851083,5.839182772518258e-07,2.556,0.0,3.0455,0.0984697857478733,2.035292844088328e-06
P24_28,seg1,1,5.359999999999999,5.519,4.773341338937256e-05,5.0993658940397415,1.2208724365235868e-06,4.104,0.0,4.598000000000001,0.2294216353640568,3.546356550141306e-06
P24_28,seg2,1,5.1225000000000005,5.907,4.010807565295708e-05,5.0571410118406925,1.0384380729966208e-06,3.724,0.0,4.221,0.3539385677315406,2.013434685875156e-06
P24_28,seg3,1,4.837,5.735,7.823946199111325e-05,5.036927272727272,1.939559868046228e-06,2.9,0.0,5.03,0.3687791389039242,6.382784418830428e-06
P24_28,seg4,1,4.27,5.5275,5.974181927349145e-05,4.8673640776699,3.110043526519903e-06,4.092,0.0,5.1225000000000005,0.3523384777633879,6.4356619614327394e-06
P24_28,seg5,1,4.6715,5.585,7.006904833383368e-05,4.726763744427937,1.814950433271612e-06,2.9175,0.0,5.015,0.3924212594193794,4.802353140113842e-06
P24_28,seg6,0,5.156,5.29,1.861414675153114e-05,4.575696428571429,1.897843541544139e-06,3.892,0.0,4.857,0.4575823779798493,3.058308834099457e-06
P24_28,seg7,0,4.766,5.4,1.377964575202646e-05,4.803951858108107,1.2446795012534335e-06,4.07,0.0,4.933999999999999,0.3208174636318305,1.523249798504945e-06
P24_28,seg9,0,4.7845,5.4145,3.266286400480334e-05,4.965728612167298,1.1194691384907742e-06,3.839,0.0,4.6275,0.21378614982738,2.316579521577613e-06
P24_28,seg10,1,4.843500000000001,5.5215,3.266286400480334e-05,4.888549863387982,1.2505500177895643e-06,3.839,0.0,5.071,0.2931081338912246,2.3944889056842506e-06
P24_28,seg11,1,3.906,5.378500000000001,8.61603122185527e-06,4.425866071428572,1.2437925514455743e-06,2.882,0.0,5.275,0.4932053392314204,1.4266600793334576e-06
P24_28,seg12,1,4.853,5.523,5.410111684880511e-05,4.697192695214101,1.548293368725858e-06,2.039,0.0,4.968,0.3857565566916899,4.216223567569731e-06
P24_28,seg13,1,4.222,4.91,3.42839987991594e-05,4.150386831275721,1.3777320630457304e-06,3.0075,0.0,3.917,0.297040409207066,3.060402086087223e-06
P24_28,seg15,1,4.875500000000001,4.884,4.965475833083158e-05,4.44127108433735,2.0967172854881333e-06,3.2615,0.0,4.177,0.2533099646463204,4.756122529302412e-06
P24_29,seg1,1,3.436,3.436,6.898829180426299e-05,3.08754,8.799351510490107e-07,1.787,0.0,2.8725,0.2292807434355201,5.248800205851578e-06
P24_29,seg2,1,3.407,3.6025,4.713582322565151e-06,3.374047222222224,4.918546461455192e-07,3.033,0.0,3.5995,0.0942508197913789,7.41776267098244e-07
P24_29,seg3,0,3.3280000000000003,3.578,5.493845691984384e-06,3.326323333333332,4.786420268051504e-07,3.091,0.0,3.091,0.1412779541305008,7.128306214842363e-07
P24_29,seg4,0,3.281,3.56,5.884118883218271e-06,3.2296877076411965,4.559085208812229e-07,2.9,0.0,2.901,0.2033728648281138,6.483802273736987e-07
P24_29,seg5,1,3.0725,3.2585,5.673971780246174e-06,3.0975466666666667,5.172721421589442e-07,2.936,0.0,3.205,0.0702213258507438,7.895452855053411e-07
P24_29,seg6,0,3.0095,3.1065,5.673971780246174e-06,3.0363646408839764,5.296053840996707e-07,2.9375,0.0,3.0505,0.040094952141528,8.848723078742732e-07
P24_29,seg7,1,2.9395,3.318,4.617509307073377e-05,3.0613688699360315,6.953235103637042e-07,2.089,0.0,3.1165000000000003,0.1154599422294055,2.566663416101086e-06
P24_29,seg9,1,4.2535,4.2715,2.7320763780473218e-06,3.798096875000003,4.158617056089657e-07,3.335,0.0,3.7035,0.2238784561823999,3.53357213071636e-07
P24_29,seg10,0,3.0325,4.281499999999999,3.6747928425603465e-05,3.361140756302522,7.245121301404529e-07,1.934,0.0,4.281499999999999,0.4462291978210954,2.0793538847778303e-06
P24_29,seg11,0,3.7815,4.0135000000000005,4.082858000600397e-06,3.633080555555557,3.90948096245137e-07,3.17,0.0,4.008,0.2171525185991458,4.016633363110521e-07
P24_29,seg12,0,3.0785,3.5385,7.385169618733126e-06,3.21138577912254,4.375150360617901e-07,2.973,0.0,3.084,0.1397459742268511,7.248151506082987e-07
P24_29,seg15,1,2.874,3.158,3.812668868207765e-06,2.917336666666668,4.181994707451693e-07,2.8025,0.0,3.018,0.0749992418393489,6.285459431358857e-07
P23_01,seg2,1,1.747,3.6585,4.593491053200433e-05,3.413503184713373,7.024439099218171e-07,0.982,0.0,3.5095,0.3302972170520918,3.6656201696907663e-06
P23_01,seg3,1,3.6975,3.9475,1.903332332632844e-05,3.695570175438597,1.2961216946904378e-06,2.371,0.0,3.059,0.3266488180670665,2.747548991915149e-06
P23_01,seg5,1,3.5365,3.574,2.5758030621435e-05,3.455544642857144,1.4421667644432929e-06,3.129,0.0,3.3475,0.133204056612597,3.674215575663824e-06
P23_01,seg6,1,3.1945,3.2385,3.752626838787151e-06,3.137710714285715,4.090766287893656e-07,3.027,0.0,3.208,0.0489989380246518,5.897338656657623e-07
P23_01,seg7,0,2.9995000000000003,3.4995,3.1882317622335616e-05,3.280143750000002,1.0499914363504457e-06,2.571,0.0,3.303,0.1374359586425162,2.983386214405809e-06
P23_01,seg9,1,2.591,3.4785000000000004,2.164515160612429e-05,3.182126213592233,1.6790751221024591e-06,2.5425000000000004,0.0,2.9545,0.174934759806231,3.820440619114529e-06
P23_01,seg10,1,3.388,3.8265,6.430501350945663e-05,3.3881365546218483,9.91749648553593e-07,1.901,0.0,3.035,0.2744695022137491,4.393593127187971e-06
P23_01,seg13,1,3.0955,3.6335,9.966976883818667e-06,3.140161912751676,5.506398174830852e-07,2.882,0.0,3.163,0.1673150182644685,8.690337743136498e-07
P23_01,seg15,1,2.4495,3.735,2.215550885619935e-05,3.3982897959183656,9.80495527093062e-07,2.183,0.0,3.313,0.2305808588704127,2.700358280919807e-06
P23_01,seg17,1,3.1155,3.256,4.022815971179825e-05,3.0955859106529218,6.498770069735362e-07,1.991,0.0,3.0485,0.1058048521186068,2.8640904402793407e-06
P23_02,seg2,0,4.3505,4.452,6.898829180426299e-05,4.262359649122806,1.2937516623568313e-06,1.492,0.0,4.267,0.2438498288071738,5.951364992705201e-06
P23_02,seg3,1,4.1725,4.394,2.0895880869460807e-05,4.1366939655172414,1.068038777509139e-06,2.146,0.0,3.842,0.2809958128386143,2.2175764301199966e-06
P23_02,seg5,1,3.88,4.3645,4.413089162413697e-06,4.050285,6.59255554385421e-07,3.69,0.0,3.722,0.2214667389008876,6.73847085400713e-07
P23_02,seg6,1,4.134,4.7425,1.8913239267487262e-05,4.4023095238095244,6.456715893311218e-07,3.848,0.0,4.6915,0.2135879669707617,1.6328007540977157e-06
P23_02,seg7,1,4.045999999999999,4.502,2.8880216151305908e-05,4.231427215189872,1.065977204819396e-06,3.329,0.0,4.265000000000001,0.1783918058330421,2.737657475044178e-06
P23_02,seg9,1,4.309,4.309,1.5550885619933947e-05,4.030478021978021,9.30331059162044e-07,2.588,0.0,3.551,0.2433348505898806,1.9033336408838004e-06
P23_02,seg10,1,4.145,4.596,9.847484087906792e-06,4.067910714285717,1.0587877420973124e-06,1.961,0.0,4.519,0.3356903215111241,1.5639659517688647e-06
P23_02,seg13,1,4.705500000000001,4.998,0.0001045331732212,4.672691387559808,1.1079662915500082e-06,1.732,0.0,1.732,0.3132264111244256,6.008836576459119e-06
P23_02,seg15,1,4.436,4.801,8.706617028942078e-06,4.530514035087718,5.99268848088568e-07,4.104,0.0,4.154,0.2152821637144849,7.726089646755546e-07
P23_02,seg17,1,3.7725,4.2885,7.685379765836091e-06,3.8629921875000033,7.997449884642202e-07,3.33,0.0,4.2425,0.1878428993619036,1.1052149892058685e-06
P23_03,seg2,0,3.947,4.0215,8.388375165125496e-05,3.717861111111109,2.1123168818096507e-06,1.735,0.0,3.477,0.2854304327353062,8.437249142303255e-06
P23_03,seg3,1,3.995,4.0735,9.066346442509743e-06,3.6679027777777793,7.729513069501166e-07,1.982,0.0,2.164,0.427524314759389,1.254030589415361e-06
P23_03,seg5,1,1.439,3.998,3.2246442082507655e-05,3.4832517730496475,1.606947328231232e-06,1.439,0.0,3.733,0.3692532165645446,3.584008565977753e-06
P23_03,seg6,1,3.362,3.4935,2.1015972138825512e-05,3.4111611570247926,7.525517056659814e-07,2.589,0.0,3.4055,0.0882924169751672,2.278633025713089e-06
