Part_id,Sc_id,Answer,enddistance,maxdistance,meandistance,mindistance,startdistance,stddevdistance
P24_03,seg12,0,688.55,688.55,668.776332288401,649.0,668.8,10.667391210962869
P24_03,seg13,1,688.55,692.95,685.9035031847131,669.4,686.4000000000001,6.5677146306414
P24_03,seg15,1,713.4000000000001,722.7,710.8144736842102,690.15,719.8,7.686019758091397
P24_04,seg1,0,520.5,523.8499999999999,519.9511235955056,517.7,518.75,1.424591873919228
P24_04,seg2,0,519.3,530.0,522.1536111111108,517.75,520.3499999999999,3.258727133327485
P24_04,seg3,0,523.55,529.5999999999999,524.1438333333333,516.5,526.65,1.9584232717315588
P24_04,seg4,0,534.6,545.5,535.8419732441469,528.8,537.0999999999999,2.2281833692042685
P24_04,seg5,1,520.3,534.8,522.6964566929133,518.3499999999999,534.8,2.5201141913895007
P24_04,seg6,1,526.35,530.05,525.1248618784529,521.3,522.45,1.633491695634033
P24_04,seg7,1,522.2,537.05,526.4407766990288,520.5999999999999,520.5999999999999,2.88914010799254
P24_04,seg9,1,526.25,539.25,529.1618393234673,521.95,523.1500000000001,3.955626142283692
P24_04,seg10,1,519.25,534.4000000000001,526.0206249999998,517.8,529.0,3.669759001973821
P24_04,seg12,0,513.0,514.75,505.8551118210857,499.1,506.3,3.224064076619486
P24_04,seg13,0,502.3,505.35,495.8115384615385,476.6,476.6,5.747853850494086
P24_04,seg15,1,517.4,520.95,517.46480836237,513.25,519.9000000000001,1.286345129356014
P24_05,seg1,1,486.0,487.3,467.2302431610945,457.3,460.55,6.935110076268486
P24_05,seg2,0,469.0,473.4500000000001,462.2006097560978,455.15,473.4500000000001,4.7646038912895285
P24_05,seg3,0,467.35,528.6,481.7285564853557,459.85,480.6,8.627099775268753
P24_05,seg4,1,501.6,522.0999999999999,509.4590361445787,493.3,502.85,6.823053653900932
P24_05,seg5,1,513.0,516.8,487.7692052980132,464.55,502.4,15.056763754714412
P24_05,seg6,1,504.05,519.4,503.7594017094017,468.4,468.4,10.573007539582388
P24_05,seg7,0,498.75,504.7,482.3276315789475,469.0,504.7,8.337863014533328
P24_05,seg9,1,499.0,503.0,497.05000000000007,493.7,503.0,1.9820244833582583
P24_05,seg10,1,488.15,502.2,484.0358208955219,473.4,502.2,5.62527106942462
P24_05,seg11,1,517.1,540.25,518.366609589041,477.5,489.15,18.68508988467163
P24_05,seg12,0,479.15,522.5,497.3006355932205,479.15,511.0,10.03247649888527
P24_05,seg13,0,487.6,516.05,500.2638613861388,472.8,516.05,11.229238885186916
P24_06,seg1,0,722.1,725.9,722.2229885057474,718.7,720.05,1.6693307058960698
P24_06,seg2,1,740.65,741.9,737.1055865921787,730.45,732.25,2.811692494222364
P24_06,seg3,1,740.05,742.45,738.8403389830509,735.25,740.55,1.5884574793211217
P24_06,seg4,1,731.45,739.3,732.5291666666662,726.5,730.0,2.7607056994093715
P24_06,seg5,1,723.7,729.6,720.8322033898303,714.15,725.0,3.302101122321047
P24_06,seg6,0,724.25,726.25,723.1586111111109,720.6500000000001,723.55,1.3364552313305225
P24_06,seg7,0,734.4,734.9,722.8634078212289,712.6,721.7,4.905143952822992
P24_06,seg9,1,738.5999999999999,750.6,722.3118852459017,683.8,704.9,16.070001048425134
P24_06,seg10,1,744.0,751.3,744.6826180257516,738.55,749.2,2.8525744667213315
P24_06,seg11,1,740.25,748.3,742.1158263305322,735.7,739.65,2.050485062668371
P24_06,seg12,1,757.2,775.9,737.9594618055551,721.0,724.1,16.62733505971729
P24_06,seg13,0,744.75,751.0999999999999,745.1169491525429,739.35,740.45,3.1829945212100337
P24_06,seg15,1,744.9000000000001,748.35,740.613210702341,734.75,744.25,3.8015915590223552
P24_07,seg1,1,743.25,744.5,742.866111111111,740.55,743.8,0.9761636167056034
P24_07,seg2,1,751.1,752.45,750.3841666666668,746.3,750.45,1.1619968725618757
P24_07,seg3,1,760.3,761.8499999999999,750.9789655172415,746.3,751.6500000000001,4.3453497753445705
P24_07,seg4,1,742.6500000000001,747.8499999999999,744.9148972602741,742.05,742.05,1.269727758408692
P24_07,seg5,1,756.4,757.2,746.2861486486485,741.2,741.2,4.054174751219033
P24_07,seg6,1,757.8,764.65,757.2816993464055,751.3499999999999,751.3499999999999,3.1809504518985743
P24_07,seg7,0,735.4,755.3,737.6056064073229,722.85,755.3,9.01633186418382
P24_07,seg9,0,737.7,746.8499999999999,741.5723382045927,736.2,746.8,3.007325776980774
P24_07,seg10,1,748.0,749.5,734.3517130620988,728.75,734.6500000000001,4.158931809649961
P24_07,seg11,0,750.8499999999999,757.75,752.8392857142858,747.8,756.9,2.057183575763797
P24_07,seg12,0,757.9,766.35,754.8757600000007,720.3,762.15,11.917854876031766
P24_07,seg13,0,752.2,755.75,753.2353211009182,749.25,750.95,1.471971822721031
P24_07,seg15,1,746.45,751.55,748.0641342756181,744.55,749.7,1.8942039841788856
P24_08,seg1,1,600.55,601.25,599.6425000000002,596.95,596.95,0.7819627754074351
P24_08,seg2,0,599.1500000000001,601.4,597.5544444444447,594.1,594.95,1.429774065920177
P24_08,seg3,1,602.75,603.35,599.2266666666668,593.1500000000001,599.0,3.0077362161669665
