Part_id,Sc_id,Answer,enddistance,maxdistance,meandistance,mindistance,startdistance,stddevdistance
P24_02,seg17,1,633.4,641.7,633.5376822157428,627.75,632.55,2.3469631866414304
P24_02,seg18,0,636.8,640.8,633.5267895878532,627.0,635.3,2.2057113973240297
P24_03,seg1,1,751.75,762.5,756.7048705722074,750.8,754.2,2.3492304901784644
P24_03,seg2,0,729.95,762.5,756.0831342234717,729.95,756.2,3.461377743038508
P24_03,seg4,0,705.85,721.45,691.5948831587427,474.3,479.2,26.21350604554925
P24_03,seg5,1,700.7,721.45,708.438402457757,691.3,691.3,4.579649791541187
P24_03,seg6,0,698.75,707.1,682.9165384615385,628.5,707.1,19.517553606371333
P24_03,seg7,1,687.05,707.0,692.7025812619509,628.5,630.0,12.534820391673962
P24_03,seg8,1,687.2,707.0,690.5674002751038,628.5,630.0,11.501769380382497
P24_03,seg9,1,699.3,700.5999999999999,685.388470451912,666.2,687.65,7.205440936978369
P24_03,seg10,1,690.05,700.5999999999999,686.3193419740786,666.2,689.9,7.129533243989303
P24_03,seg11,1,393.9,700.5999999999999,656.1079780755186,393.9,673.05,78.80810906991192
P24_03,seg12,0,632.7,701.4000000000001,647.8703721841339,393.8,471.1,81.36381645845327
P24_03,seg13,1,679.45,700.9,671.2548591549302,604.6,616.5,20.58121312996757
P24_03,seg14,1,698.8,700.9,682.4289573459719,649.0,677.9,11.832049625596628
P24_03,seg15,1,688.55,701.25,689.6262991128009,655.55,689.5,7.519574016701448
P24_03,seg16,1,710.6,725.7,696.0604466858787,633.95,640.8,26.1482091341974
P24_03,seg17,0,713.4000000000001,725.7,706.2436878727628,633.95,652.1,20.950467583283213
P24_03,seg18,1,692.65,725.7,714.0142365097594,665.5999999999999,723.3,9.09159289985218
P24_04,seg1,1,524.1,528.55,520.6642665773617,511.8,527.5999999999999,3.340551892273893
P24_04,seg2,1,518.0,528.55,520.3015343562377,511.8,517.15,2.7725066946386527
P24_04,seg3,1,525.65,530.5,522.3953220338987,511.5,519.35,2.674958339501593
P24_04,seg4,0,537.85,545.5,527.0592890677392,511.1,519.3,8.882857287393296
P24_04,seg5,0,530.6,545.5,535.5954177897567,527.7,533.05,2.7948052718811307
P24_04,seg6,1,521.4,540.7,532.7337816455698,519.4,530.65,4.726187344164541
P24_04,seg7,1,523.3,540.2,525.2567518248165,510.7,534.95,6.0189317030612255
P24_04,seg8,1,525.5,540.2,522.6665315315315,510.7,535.2,4.264788004523964
P24_04,seg9,0,505.5,537.05,523.6541152263377,504.6,524.6500000000001,3.690134722880993
P24_04,seg10,0,528.0,537.05,523.844083969466,481.75,519.6500000000001,4.723059705474318
P24_04,seg11,1,526.25,539.25,525.6210796915165,481.75,525.0,6.356208701069849
P24_04,seg12,0,525.3,539.25,526.125259259259,517.5999999999999,535.6,4.174777654556097
P24_04,seg13,1,504.95,516.4000000000001,504.4069744597247,481.1,481.1,5.277152831706592
P24_04,seg14,1,513.1,516.3,506.448512585812,493.15,495.95,3.538500900277095
P24_04,seg15,0,502.3,515.6,507.4677449168207,476.6,503.35,4.651518996979
P24_04,seg16,1,530.6,581.8,521.4816602316603,495.55,499.2,9.039082429361866
P24_04,seg17,0,517.4,581.8,521.0927060133625,510.75,581.8,5.620742632587981
P24_04,seg18,0,510.8,531.2,518.133891891891,502.55,520.85,4.298011846476909
P24_05,seg1,1,475.55,490.5,470.46686602870847,444.1,461.35,9.992250421692535
P24_05,seg2,0,492.25,494.85,475.13711943793874,450.35,470.15,7.592995809431002
P24_05,seg3,1,473.2,528.6,483.1517241379311,466.0,481.55,7.336693840796861
P24_05,seg4,0,503.4,522.0999999999999,489.50227678571446,440.7,501.6,18.920610837708832
P24_05,seg5,0,489.85,559.1,499.143400447428,470.8,496.5,12.355879408168596
P24_05,seg6,1,491.5,559.1,493.8955333333334,470.8,506.05,10.704706022286958
P24_05,seg7,1,467.6,515.0999999999999,473.22984562607246,450.4500000000001,493.95,15.750739124428994
P24_05,seg8,1,497.75,519.4,477.64901812688834,450.4500000000001,471.5,18.98412792980873
P24_05,seg9,1,497.4,505.15,486.8387464387465,461.9,496.05,7.799416287395765
P24_05,seg10,1,515.3,515.3,488.8974184782611,461.9,481.1,9.666333898058683
P24_05,seg11,0,499.0,515.3,492.2556847545218,470.75,470.75,8.31625966728617
P24_05,seg12,0,481.05,517.7,488.5133136094672,472.05,499.5,9.38325578633951
P24_05,seg13,1,489.1,529.5,491.0064724919088,455.5,455.85,16.436923248690995
P24_05,seg14,1,488.8,634.6,510.0388755980861,481.3,524.2,19.324496498479306
P24_05,seg15,0,487.6,546.2,511.6964661654138,472.8,527.5999999999999,19.881805654355023
P24_05,seg16,0,455.2,548.3,493.896635730858,443.1,511.55,30.418625055766043
P24_05,seg17,0,505.0,548.3,486.7154651162791,443.1,507.85,31.36364815792062
P24_05,seg18,0,485.4,585.7,478.8701375245579,443.1,458.6,23.73734022682493
P24_06,seg1,0,736.6500000000001,737.7,724.2646582100077,716.3,717.6,3.9175133974865344
P24_06,seg2,1,737.15,740.55,727.7974528960222,718.25,721.7,5.613865342200184
P24_06,seg3,1,738.4,748.4000000000001,739.5432238193013,729.95,730.1,2.7501224027318427
P24_06,seg4,1,733.25,742.1,733.3666176470589,722.95,733.9,3.2328282417277627
