Part_id,Sc_id,abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,maxdistance,maxpupilsize,maxpupilvelocity,meanabspathangles,meandistance,meanfixationduration,meanpathdistance,meanpupilsize,meanpupilvelocity,meanrelpathangles,mindistance,minpupilsize,minpupilvelocity,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevfixationduration,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,Answer
P23_04,seg5,3.8524321266374495e-06,595.1500000000001,3.4185,0.0014897584628044,2.764537502333488e-06,620.9,3.9125,2.876185901284977e-05,1.41840201269125,603.7560936238906,280.5263157894737,548.5045115928057,3.467321226795797,8.883409088625687e-07,1.472764592743584,592.1500000000001,2.888,0.0,3.9286528452836825e-06,602.4,3.714,0.9018632289048713,5.035257876673636,266.24425582423083,659.1997744192428,0.1924609388054118,1.5350262039639726e-06,0.9961070837401614,0
P23_04,seg6,5.905940413996427e-06,614.75,3.3055,0.0014348116766997,3.983251264424103e-06,624.8,4.126,3.854698288802158e-05,1.5012270811482276,607.0300327332246,193.5679012345679,364.7138295375611,3.4800630114566298,9.521959556131458e-07,1.334839290878834,592.05,2.2965,0.0,5.185716335339394e-06,620.9,3.91,1.0813115178676445,5.484028466528578,75.80681669078395,424.9982100263684,0.2509450387798514,2.1668503853280684e-06,0.9710768461080964,0
P23_04,seg7,5.953362373825955e-06,616.5,3.7485,0.0016308761409463,4.027653444587014e-06,639.9,4.126,3.854698288802158e-05,1.4978300943240372,610.5822310405648,196.6184210526316,410.3186083152156,3.4272755731922384,9.398798072947068e-07,1.4095180465338544,593.25,2.2965,0.0,5.527654157031489e-06,598.3,3.656,1.06194857014863,6.401345805065902,82.52368825256792,499.3650695020446,0.2793843868199229,2.088458977417578e-06,0.9766232688474752,0
P23_04,seg9,6.287085129664152e-06,590.6,3.625,0.0021851352826761,4.120654328511906e-06,639.9,3.9305,4.26324006244746e-05,1.550358078891995,610.6394450489657,181.12698412698413,538.8414613609357,3.4098960826985825,9.166152912791244e-07,1.2451733647249457,587.6,2.622,0.0,4.968042379701532e-06,609.1500000000001,3.1260000000000003,0.9864253854054492,7.70622096949547,72.98066294120964,627.2566150706269,0.2487165427864863,1.9403550554992728e-06,0.935617411513175,0
P23_04,seg10,5.981921370847179e-06,598.95,3.084,0.0018296429432848,4.002924269609759e-06,623.8,3.9305,4.26324006244746e-05,1.5197164520055246,601.8547222222226,192.9833333333333,464.8236427440838,3.581006666666666,9.620775724160997e-07,1.0931289234906003,576.8,2.622,0.0,4.229855221064484e-06,613.6,3.285,0.9992130765131624,7.729209612588034,184.1797658761464,532.7882073812274,0.1592945811437336,2.213484322407055e-06,0.9593431708317328,0
P23_04,seg13,5.605643060323339e-06,619.2,3.069,0.0014007924986771,3.7625437722323216e-06,621.8,3.8875,0.0001089162413689,1.5108384443086875,612.8168260869559,208.7083333333333,377.5429753064888,3.4426104347826074,1.020352703929286e-06,1.614080454854398,593.0,1.388,0.0,5.904352575425043e-06,610.05,3.1895,1.1434472375904678,5.017610580758235,103.70766572234407,404.9793544573316,0.2433034060809729,4.736897535681731e-06,1.0616911911861775,1
P23_04,seg15,5.415600610528001e-06,615.05,3.6945,0.0015438858317118,3.459969273343641e-06,635.8,4.035,9.006845202353788e-05,1.589672894624352,618.1533215234726,227.2923076923077,453.18583026520537,3.50582373782108,9.49229107220661e-07,1.323423377855206,600.05,2.141,0.0,4.4381117853727815e-06,624.2,3.126,1.106494258470316,6.248592752514711,115.11037136658818,500.5899790326384,0.2317159986070975,3.4107208451954587e-06,1.0479905344101617,0
P23_04,seg17,5.209696020326471e-06,566.1,3.5005,0.0014122742057907,3.460612255115616e-06,600.2,4.039,2.2275592915040527e-05,1.5252343409378954,563.9535901271508,245.5584415584416,413.4692521576072,3.408786836200447,7.698477136831267e-07,1.7410218381277962,463.8,2.84,0.0,5.868507963748995e-06,589.9,3.606,1.1115064071414844,27.762865709446142,242.48931031819103,558.9460259158888,0.2915792454864389,1.4458621825159365e-06,1.106209249180374,0
P23_05,seg2,4.075289138188295e-06,489.45,4.774,0.0012016332849761,3.016556875168844e-06,506.85,4.981,7.541731716104241e-05,1.372763643956586,485.89645418326745,263.3809523809524,404.77090852913926,4.317999999999997,1.0552612458427514e-06,1.21244148653369,462.9,2.093,0.0,3.541290806643353e-06,493.5,4.351,1.085973320165256,11.686763792576333,183.88166150486023,441.11326599654967,0.3297340266175295,2.9494916083660312e-06,0.9241339115184232,1
P23_05,seg3,4.473182319545537e-06,508.05,3.745,0.0013208738510268,3.403852303036257e-06,521.0999999999999,4.954,0.0001750435356992,1.340972330252628,506.7590136054417,231.56,395.9720752364093,4.327945011337871,1.4645951462933606e-06,1.214391428724382,486.1,2.142,0.0,3.968264698992939e-06,511.55,4.757,1.0932011785008355,7.027113522035498,142.039971379143,523.8568440346958,0.2965159113417536,6.633822433654666e-06,1.0072992205390106,1
