Part_id,Sc_id,Answer,fixationrate,meanfixationduration,stddevfixationduration
P24_07,seg3,1,3.739697911357941e-06,231.44444444444449,182.54450616774568
P24_07,seg4,1,3.714002801596113e-06,168.5,80.05163774640937
P24_07,seg5,1,1.6227835565776388e-06,532.875,968.6713193854766
P24_07,seg6,1,3.950199050530156e-06,186.6,66.9298139845017
P24_07,seg7,0,3.029695839194762e-06,287.6363636363636,184.46513296931016
P24_07,seg9,0,1.3817462031184504e-06,689.0,762.5576699502799
P24_07,seg10,1,1.8038742838780155e-06,278.42857142857144,340.8660269836939
P24_07,seg11,0,2.5092623145184665e-06,271.2857142857143,247.4178740422858
P24_07,seg12,0,3.752693279099538e-06,183.28205128205127,88.52146594201666
P24_07,seg13,0,3.1215015083278908e-06,208.7058823529412,148.31038597561297
P24_07,seg15,1,3.4066965433953524e-06,209.1875,74.11991972472717
P24_08,seg1,1,1.3417478815478134e-06,966.0,955.3596181543368
P24_08,seg2,0,4.025235543366546e-06,186.0,68.78028258685241
P24_08,seg3,1,2.4097614617291726e-06,370.5,338.31332975646865
P24_08,seg4,0,3.213015927522393e-06,274.9375,219.8343220852164
P24_08,seg5,1,2.802012966114857e-06,310.57142857142856,207.2930717183225
P24_08,seg6,1,2.68349486295224e-06,314.25,176.51365790944175
P24_08,seg7,0,2.528126673303842e-06,355.55,261.5171273449156
P24_08,seg9,1,2.512272135347154e-06,344.85,236.9142138767577
P24_08,seg10,0,3.720634252672121e-06,220.0344827586207,135.3003227634786
P24_08,seg11,0,6.690028245299251e-07,1286.5,1131.487074605804
P24_08,seg12,0,2.8014032041889567e-06,315.3333333333333,204.70202622404568
P24_08,seg13,0,2.174267907270484e-06,434.3076923076923,331.0298034455973
P24_08,seg15,0,3.213036574597773e-06,246.75,156.17404820690706
P24_09,seg1,1,3.2165931603649674e-06,270.93333333333334,202.828381596246
P24_09,seg2,0,2.573286484270214e-06,303.44444444444446,291.49661709491204
P24_09,seg3,1,3.6389691382666353e-06,241.6,124.47686085730508
P24_09,seg4,0,3.630507095267578e-06,182.07692307692307,55.77105213648257
P24_09,seg5,1,3.972313585434687e-06,181.34615384615384,79.4757534384883
P24_09,seg6,0,2.7927032250136844e-06,362.25,271.1561226620982
P24_09,seg7,0,3.824392757181425e-06,170.6,88.7884438150711
P24_09,seg9,1,3.94569691729562e-06,194.08695652173915,88.59402454889808
P24_09,seg10,1,4.028865914533718e-06,209.51612903225808,90.82689431651174
P24_09,seg11,0,2.472381730087967e-06,322.6428571428572,176.58713566824875
P24_09,seg12,0,3.5083600712136952e-06,230.9142857142857,177.84384615005766
P24_09,seg13,0,4.247419933720942e-06,187.13636363636363,67.13546749424626
P24_09,seg15,1,2.8705819650425314e-06,283.1666666666667,184.94659343778795
P24_10,seg1,1,1.5940683653413403e-06,161.0,53.50700888668698
P24_10,seg2,1,3.354370829049522e-06,249.8,94.26181034166962
P24_10,seg3,0,2.645079292864502e-06,418.1,504.9696250490937
P24_10,seg4,0,2.664034873446048e-06,292.15384615384613,118.60357369113164
P24_10,seg5,1,2.4178466093932536e-06,349.9166666666667,204.14899119530472
P24_10,seg6,1,1.68660628841035e-06,796.2,861.9580616248102
P24_10,seg7,0,2.3852781945845795e-06,370.9310344827586,192.92650914541133
P24_10,seg9,1,1.6678675312891948e-06,581.5833333333334,330.94587811668583
P24_10,seg10,1,2.255798278831483e-06,415.3703703703704,353.20190558816506
P24_10,seg11,1,1.881692839303432e-06,549.3636363636364,369.0138947864356
P24_10,seg12,1,2.650308112026513e-06,337.6896551724138,228.45226188547824
P24_10,seg13,1,2.0070121660059973e-06,383.0833333333333,199.01048776992693
P24_10,seg15,1,2.6281495845704167e-06,370.1538461538461,156.66676213854157
P24_11,seg1,0,3.216592470600345e-06,253.66666666666663,149.188638977638
P24_11,seg2,0,3.10567901013038e-06,259.1111111111111,123.57431412357144
P24_11,seg3,0,8.28183241339429e-07,1790.5,2368.943153954241
P24_11,seg4,0,1.4957399190334614e-06,528.1428571428571,490.75772317625615
P24_11,seg5,1,2.220077716847857e-06,398.2272727272728,207.9519019064108
P24_11,seg6,0,2.0704526734202534e-06,369.1666666666667,225.99771385274377
P24_11,seg7,0,1.3934033750763206e-06,643.5454545454545,460.6554815990718
P24_11,seg9,1,2.677081277717352e-06,340.1904761904762,145.19422132014037
P24_11,seg10,0,1.1258124143835295e-06,732.8888888888889,546.4637326585462
P24_11,seg11,0,2.817274895774035e-06,276.9375,244.32559389743292
P24_11,seg12,0,2.754271599824168e-06,308.06666666666666,195.69292153838853
P24_11,seg13,0,1.5754760694812957e-06,631.1111111111111,650.1360327739966
P24_11,seg15,0,3.073881983014548e-06,270.93333333333334,119.11247185908348
P24_12,seg1,0,3.0067807531800755e-06,284.0153846153846,326.74777602091706
P24_12,seg2,0,2.898632342442769e-06,276.1428571428572,123.39695913518098
P24_12,seg3,1,3.915858640113664e-06,205.5,119.8027545593172
P24_12,seg4,0,3.4837286306548857e-06,250.8823529411765,151.38026718868497
P24_12,seg5,1,3.4718818416495115e-06,260.52941176470586,143.67851163581267
P24_12,seg7,0,3.782257336279081e-06,235.25,75.6396532438981
P24_12,seg9,1,3.924388030930456e-06,203.25,102.258637519617
P24_12,seg10,0,3.626769183342249e-06,233.27777777777777,113.31362285349014
P24_12,seg11,0,1.0035045724685844e-06,660.5,785.2726278178808
P24_12,seg12,1,3.33572455365689e-06,256.3611111111111,187.14168090021724
P24_12,seg13,1,1.8552619106971369e-06,496.6363636363636,480.3784492933198
P24_12,seg15,0,2.4845461231142294e-06,363.5,165.83864008564032
P24_13,seg1,1,3.752689569672264e-06,239.27272727272728,178.36652763850674
P24_13,seg2,1,3.731473657322491e-06,227.1818181818182,112.07927389291758
P24_13,seg3,1,2.442428400720272e-06,335.8333333333333,249.46299901746525
P24_13,seg4,1,3.40243410135611e-06,250.7058823529412,88.07153676549135
P24_13,seg5,1,3.626761145137744e-06,239.88888888888889,122.513331274067
P24_13,seg6,0,2.8255541706415738e-06,301.875,110.14851986554984
P24_13,seg7,1,3.34287380947085e-06,258.7692307692308,118.2922846824112
P24_13,seg9,1,2.637872156656444e-06,333.95238095238096,177.6317753642282
P24_13,seg10,0,3.259117789405586e-06,269.03846153846155,133.52167787119234
P24_13,seg11,0,3.070380280243843e-06,297.94444444444446,172.5536479994222
P24_13,seg12,0,3.51562593962042e-06,231.76315789473685,102.6993602997331
P24_13,seg13,1,2.924729673257803e-06,270.4117647058824,162.39267949307683
P24_13,seg15,0,4.231218778390722e-06,204.6190476190476,73.93272360090366
P24_14,seg1,1,3.040155899194511e-06,222.75,119.86391092758964
P24_14,seg2,0,2.339341802790367e-06,377.3333333333333,203.59927963199345
P24_14,seg3,1,2.641896881961248e-06,301.45454545454544,251.8111846746937
P24_14,seg4,0,2.392160221150428e-06,403.2,442.76198772904814
P24_14,seg5,1,3.394663588838346e-06,225.9375,108.25677422991444
P24_14,seg6,0,2.809024271374217e-06,314.375,159.8427240401371
P24_14,seg7,0,2.7689757544110875e-06,289.3684210526316,203.4999892236732
P24_14,seg9,1,2.4017183093644347e-06,347.5,207.0684266935289
P24_14,seg10,0,2.1393031490970216e-06,355.46666666666664,294.1869829757614
P24_14,seg11,0,3.650047998131176e-06,215.7,102.80697293574266
P24_14,seg12,0,3.347732181425486e-06,224.1290322580645,113.11726715684154
