# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Comment","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Free Comment","options":{"default":"Default"},"default_option_id":""},"3":{"aname":"Scene","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Video part","options":{},"default_option_id":""},"4":{"aname":"Type","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Type of AOI","options":{"0":"Title","1":"Chart","2":"Formula","3":"Chemistry","4":"Picture","5":"Text","6":"Data"},"default_option_id":"0"},"5":{"aname":"Importance","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Importance","options":{"0":"High","1":"Med","2":"Low"},"default_option_id":"1"},"6":{"aname":"AOI_Name","anchor_id":"FILE1_Z1_XY1","type":1,"desc":"AOI_Name","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_1OkqyviG","[""chimie-verte_version-française_default.mp4""]",0,"[223.56476]","[2,313.183,401.292,167.496,131.729]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""NNmolecule""}"
"1_5cMBy9J9","[""chimie-verte_version-française_default.mp4""]",0,"[224.96059]","[2,488.53,372.504,132.601,160.517]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""NH3molecule""}"
"1_k29D7Hde","[""chimie-verte_version-française_default.mp4""]",0,"[227.56,238.6066]","[]","{""1"":""_DEFAULT"",""3"":""synthesepolluantes""}"
"1_5IlfXbGh","[""chimie-verte_version-française_default.mp4""]",0,"[228.98142]","[2,164.006,41.002,544.362,116.025]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P3_title""}"
"1_ozeagLHq","[""chimie-verte_version-française_default.mp4""]",0,"[230.00226]","[2,306.204,133.473,321.033,61.939]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""5"",""5"":""0"",""6"":""synthesis_text""}"
"1_yEXAmNoX","[""chimie-verte_version-française_default.mp4""]",0,"[230.89809]","[2,705.751,232.924,231.18,173.603]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""CN3H2Omolecule""}"
"1_4GcyxzH9","[""chimie-verte_version-française_default.mp4""]",0,"[235.35642]","[2,34.895,196.28433,678.67643,233.79667]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""2"",""5"":""0"",""6"":""Sohio""}"
"1_C5CMiEqi","[""chimie-verte_version-française_default.mp4""]",0,"[240.35,253.33576]","[]","{""1"":""_DEFAULT"",""3"":""renouvelables""}"
"1_LvxpEfAy","[""chimie-verte_version-française_default.mp4""]",0,"[241.60642]","[2,115.153,42.746,699.645,109.047]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P7_title""}"
"1_p7bq3QpP","[""chimie-verte_version-française_default.mp4""]",0,"[247.37726]","[2,287.011,65.428,403.037,75.024]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""petrol_title""}"
"1_hBrIXTs7","[""chimie-verte_version-française_default.mp4""]",0,"[247.37726]","[2,173.603,160.517,204.12655,246.882]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""2"",""6"":""petrol_pic""}"
"1_gnBI38o0","[""chimie-verte_version-française_default.mp4""]",0,"[254.082,260.1691]","[]","{""1"":""_DEFAULT"",""3"":""renouvelables2""}"
"1_DEvsDPSL","[""chimie-verte_version-française_default.mp4""]",0,"[254.71059]","[2,242.52,62.811,495.509,77.641]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""renewable_title""}"
"1_tUphmaaM","[""chimie-verte_version-française_default.mp4""]",0,"[255.33559]","[2,142.197,183.199,676.091,263.457]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""3"",""5"":""0"",""6"":""renewable_samples""}"
"1_AbIXauQf","[""chimie-verte_version-française_default.mp4""]",0,"[261.723,275.46076]","[]","{""1"":""_DEFAULT"",""3"":""chimiesure""}"
"1_5maMXGHW","[""chimie-verte_version-française_default.mp4""]",0,"[263.18976]","[2,102.08514,37.512,736.284,124.75]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""0"",""5"":""0"",""6"":""P4_title""}"
"1_BcTPxX30","[""chimie-verte_version-française_default.mp4""]",0,"[273.04392]","[2,56.704,182.326,831.374,249.5]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""4"",""5"":""0"",""6"":""hazard_logo""}"
